,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Yessentukskaya,44.0328,42.8813,35.6,93,90,17.9
1,Vaini,-21.2,-175.2,80.6,78,75,8.05
2,Barrow,71.2906,-156.7887,-9.4,64,20,6.91
3,Punta Arenas,-53.15,-70.9167,51.8,71,75,6.91
4,Ardakān,32.31,54.0175,55.4,16,0,2.3
5,San José de Ocoa,18.55,-70.5,78.01,80,83,1.01
6,Saskylakh,71.9167,114.0833,-39.78,99,69,5.57
7,Rikitea,-23.1203,-134.9692,80.17,73,3,11.9
8,Pevek,69.7008,170.3133,-14.46,92,26,1.7
9,Norman Wells,65.282,-126.8329,-0.4,65,75,8.05
10,Karratha,-20.7377,116.8463,83.34,58,6,3.42
11,Albany,42.6001,-73.9662,60.8,23,1,5.75
12,Katsuura,35.1333,140.3,52.0,50,20,8.05
13,Hermanus,-34.4187,19.2345,66.0,76,0,8.99
14,Nakamura,32.9833,132.9333,52.16,52,1,4.0
15,Puerto Ayora,-0.7393,-90.3518,82.0,86,56,5.01
16,Riviere-au-Renard,48.9957,-64.3971,39.2,48,1,3.44
17,Khatanga,71.9667,102.5,-19.46,81,99,7.31
18,Mataura,-46.1927,168.8643,57.0,95,81,1.99
19,Zhigansk,66.7697,123.3711,-25.38,93,93,10.76
20,Wasilla,61.5814,-149.4394,30.2,34,1,0.92
21,Carnarvon,-24.8667,113.6333,73.4,78,40,18.41
22,Tumut,-35.3,148.2167,62.6,100,90,8.05
23,Busselton,-33.65,115.3333,55.99,83,40,1.01
24,Upernavik,72.7868,-56.1549,-9.26,96,100,8.37
25,Ushuaia,-54.8,-68.3,51.8,62,20,20.71
26,Hayden,47.766,-116.7866,42.8,75,75,5.75
27,Kumul,42.8,93.45,43.9,28,97,8.28
28,Mahébourg,-20.4081,57.7,77.0,94,40,3.44
29,Geraldton,-28.7667,114.6,66.2,63,5,17.27
30,Bangkalan,-7.0455,112.7351,78.8,89,20,3.44
31,Faanui,-16.4833,-151.75,83.88,73,8,15.95
32,Balanacan,13.5289,121.8677,75.0,94,95,5.99
33,Tasiilaq,65.6145,-37.6368,21.2,68,90,5.75
34,Esim,4.8699,-2.2405,79.05,81,100,7.45
35,Holme,56.1138,10.1725,42.8,87,90,13.8
36,Ribeira Grande,38.5167,-28.7,56.88,79,100,21.97
37,Bengkulu,-3.8004,102.2655,75.54,90,100,4.21
38,Provideniya,64.3833,-173.3,5.0,66,0,4.47
39,Bethel,41.3712,-73.414,50.0,46,1,4.23
40,Kavieng,-2.5744,150.7967,83.8,74,100,8.52
41,Carutapera,-1.195,-46.02,73.24,95,98,2.15
42,Klaksvík,62.2266,-6.589,42.8,87,75,11.5
43,Arman',59.7,150.1667,22.73,91,100,12.75
44,Vanimo,-2.6741,141.3028,82.24,79,78,1.23
45,Severo-Kuril'sk,50.6789,156.125,31.35,77,57,23.38
46,Butaritari,3.0707,172.7902,80.92,80,96,18.59
47,Port Alfred,-33.5906,26.891,65.53,79,43,6.58
48,Castro,-24.7911,-50.0119,65.48,90,85,0.47
49,Goderich,43.7501,-81.7165,59.0,36,100,12.66
50,Portland,45.5234,-122.6762,53.01,58,75,6.91
51,Quatre Cocos,-20.2078,57.7625,77.0,94,40,3.44
52,Mórrope,-6.5417,-80.0111,73.4,78,0,20.71
53,Maţāy,28.419,30.7792,84.16,19,31,11.65
54,Linkou,45.3,130.2833,33.35,67,74,8.5
55,Thompson,55.7435,-97.8558,23.0,63,75,11.5
56,Matara,5.9485,80.5353,75.45,89,99,7.23
57,Olivenza,38.6832,-7.103,50.0,62,0,2.3
58,Taldom,56.7333,37.5333,18.84,97,32,3.47
59,Arrondissement d'Ajaccio,42.0,8.9167,41.0,60,0,9.22
60,Torbay,47.6666,-52.7314,41.0,56,40,25.32
61,Kiryat Gat,31.61,34.7642,78.01,41,74,5.01
62,Gmina Szubin,53.0097,17.74,35.01,69,0,8.05
63,Cidreira,-30.1811,-50.2056,73.69,71,98,9.78
64,Te Anau,-45.4167,167.7167,66.85,57,11,0.43
65,Neuquén,-38.9516,-68.0591,68.0,68,0,2.28
66,Atuona,-9.8,-139.0333,80.74,71,12,18.34
67,Luís Correia,-2.8792,-41.6669,77.49,82,80,6.31
68,Souillac,-20.5167,57.5167,77.0,94,40,3.44
69,Hobart,-42.8794,147.3294,70.0,72,75,8.05
70,Fort Nelson,58.8053,-122.7002,19.4,53,75,4.61
71,Saucillo,28.0167,-105.2833,75.42,3,77,27.87
72,Kaitangata,-46.2817,169.8464,64.0,95,27,4.0
73,Iqaluit,63.7506,-68.5145,-18.4,63,20,18.41
74,Saldanha,-33.0117,17.9442,69.8,52,0,4.61
75,Jardim,-21.4803,-56.1381,74.95,77,54,3.02
76,Vila Velha,-20.3297,-40.2925,80.6,78,75,4.61
77,Luanda,-8.8368,13.2343,80.6,83,40,8.05
78,Qaanaaq,77.484,-69.3632,-16.91,70,95,6.76
79,Ṭikāpur,28.5,81.1333,63.0,94,3,5.99
80,Dongsheng,39.8161,109.9776,36.01,38,0,7.7
81,Vicuña,-30.0319,-70.7081,70.0,34,0,1.34
82,Arraial do Cabo,-22.9661,-42.0278,76.66,87,8,6.15
83,Necochea,-38.5473,-58.7368,60.01,84,84,4.0
84,East London,-33.0153,27.9116,66.33,77,78,6.62
85,Tucuruí,-3.7661,-49.6725,72.12,97,99,2.59
86,Lüderitz,-26.6481,15.1594,67.78,72,85,4.83
87,Grand Gaube,-20.0064,57.6608,77.0,87,64,3.0
88,Chui,-33.6971,-53.4616,67.75,70,95,6.17
89,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,1,13.8
90,Faya,18.3851,42.4509,60.8,82,0,3.83
91,Mayo,38.8876,-76.5119,55.4,50,1,8.12
92,Tierra Nueva,21.6833,-100.5667,82.58,8,0,20.31
93,Ponta do Sol,32.6667,-17.1,60.8,63,40,10.36
94,Ubinskoye,55.3068,79.6802,15.53,97,96,7.7
95,Henties Bay,-22.116,14.2845,62.01,92,8,3.0
96,Teya,60.3778,92.6267,5.34,99,100,3.33
97,Avarua,-21.2078,-159.775,84.2,79,38,5.75
98,Kushima,31.4583,131.2333,50.0,66,40,2.3
99,Prince Albert,53.2001,-105.7677,35.6,64,75,6.91
100,Kapaa,22.0752,-159.319,75.99,64,75,10.36
101,Canillo,42.5833,1.6667,37.99,74,32,4.29
102,Riverton,40.5219,-111.9391,41.0,75,90,6.91
103,Nemuro,43.3236,145.575,37.4,65,20,4.61
104,Mango,27.9797,-82.3065,66.99,94,90,3.44
105,George Town,5.4112,100.3354,80.6,83,20,1.14
106,Port Elizabeth,-33.918,25.5701,59.0,94,40,4.07
107,Vestmannaeyjar,63.4427,-20.2734,38.84,54,100,32.19
108,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,64,75,8.95
109,Dingle,10.9995,122.6711,81.14,77,95,12.82
110,Yangi Marg`ilon,40.4272,71.7189,50.0,66,100,1.88
111,Cape Town,-33.9258,18.4232,68.0,68,0,19.57
112,Bredasdorp,-34.5322,20.0403,66.2,72,0,12.66
113,Port-Gentil,-0.7193,8.7815,77.0,94,20,3.44
114,San Patricio,28.017,-97.5169,75.2,78,75,26.46
115,Zyryanka,65.75,150.85,-1.86,93,100,23.15
116,Tiksi,71.6872,128.8694,-19.01,97,100,6.49
117,Tempe,33.4148,-111.9093,73.0,10,75,11.5
118,Maniitsoq,65.4167,-52.9,11.59,86,100,16.13
119,Hithadhoo,-0.6,73.0833,83.1,71,11,10.18
120,Hong Kong,22.2855,114.1577,66.0,66,99,14.74
121,Moerai,-22.4333,-151.3333,80.2,74,9,7.05
122,Najrān,17.4924,44.1277,68.0,22,0,1.43
123,Ahipara,-35.1667,173.1667,69.98,51,45,3.22
124,Mahon,39.8885,4.2658,48.2,81,0,6.91
125,Dikson,73.5069,80.5464,-16.15,82,100,2.04
126,Kununurra,-15.7667,128.7333,82.4,83,40,4.61
127,Merauke,-8.4667,140.3333,82.99,72,58,3.49
128,Caconda,-13.7333,15.0667,62.26,88,100,3.13
129,Dubbo,-32.25,148.6167,66.2,100,90,9.22
130,Tura,25.5198,90.2201,71.8,22,19,3.06
131,Sandnessjøen,66.0217,12.6316,42.8,93,90,19.57
132,Havre-St-Pierre,50.2334,-63.5986,39.2,60,1,16.11
133,Cayenne,4.9333,-52.3333,78.01,94,75,3.44
134,Taltal,-25.4,-70.4833,68.02,77,22,5.44
135,Bredy,52.4153,60.3411,8.33,96,13,6.35
136,Bambous Virieux,-20.3428,57.7575,77.0,94,40,3.44
137,Pueblo Rico,5.2383,-76.0364,66.2,94,40,2.3
138,Magistral'nyy,56.1725,107.4458,24.57,87,72,6.53
139,Saint Paul Harbor,57.79,-152.4072,33.8,80,90,5.75
140,Valdivia,-39.8142,-73.2459,60.8,67,12,6.91
141,Guasdualito,7.2424,-70.7324,83.68,50,80,3.06
142,Laguna,38.421,-121.4238,66.0,39,1,8.05
143,Mavrovi Anovi,41.7025,20.7564,17.91,95,99,5.06
144,New Norfolk,-42.7826,147.0587,69.01,63,86,1.01
145,Clarence Town,-32.5833,151.7833,66.99,100,90,10.36
146,Fortuna,40.5982,-124.1573,52.0,93,75,14.97
147,Hilo,19.7297,-155.09,77.0,69,90,13.8
148,Sitka,57.0531,-135.33,39.2,87,90,3.44
149,Manggar,-2.8833,108.2667,79.65,81,100,5.57
150,Praia,14.9215,-23.5087,68.0,77,20,18.41
151,Caravelas,-17.7125,-39.2481,75.54,83,1,4.81
152,Margate,51.3813,1.3862,42.01,83,50,11.3
153,Neyshabur,36.2133,58.7958,53.94,31,43,5.06
154,Chatham,51.3789,0.5279,43.0,79,71,4.83
155,Samarai,-10.6167,150.6667,84.7,70,51,3.94
156,Dunedin,-45.8742,170.5036,57.0,86,8,8.01
157,Sampit,-2.5333,112.95,76.08,95,99,2.06
158,Nizhniy Odes,63.6445,54.856,24.08,95,100,8.32
159,Hobyo,5.3505,48.5268,78.31,66,32,13.09
160,Kastamonu Province,41.5,33.6667,43.66,84,42,5.12
161,Sonsón,5.7106,-75.3107,57.2,100,90,2.3
162,Murgab,37.4966,61.9714,50.0,62,90,6.91
163,Bluff,-46.6,168.3333,57.0,95,59,1.99
164,Tabou,4.423,-7.3528,78.21,88,94,9.44
165,Berlevåg,70.8578,29.0864,30.2,93,90,24.16
166,Yerköy,39.6381,34.4672,54.12,56,60,10.8
167,Broome,42.2506,-75.833,55.4,18,1,3.44
168,Lorengau,-2.0226,147.2712,83.01,76,95,4.65
169,Ilulissat,69.2167,-51.1,1.4,71,75,9.22
170,Saint George,37.1041,-113.5841,61.0,20,1,14.97
171,Nome,64.5011,-165.4064,5.0,71,1,26.46
172,Amalāpuram,16.5833,82.0167,71.65,80,0,1.88
173,Hokitika,-42.7167,170.9667,61.27,78,76,4.47
174,Coahuayana Viejo,18.7333,-103.6833,78.8,36,1,8.05
175,Saint-Pierre,-21.3393,55.4781,78.8,73,40,5.75
176,Salalah,17.0151,54.0924,75.2,57,0,3.44
177,Maracaju,-21.6144,-55.1683,74.97,73,64,5.08
178,Saint-Philippe,-21.3585,55.7679,78.8,78,40,5.75
179,Ixtapa,20.7,-105.2,75.2,69,20,11.5
180,San Fernando,15.0286,120.6898,77.0,78,75,4.61
181,Santa Isabel Rio Negro,-0.4139,-65.0192,74.35,96,85,2.15
182,Chapais,49.7834,-74.8492,50.0,32,90,21.85
183,Nerchinskiy Zavod,51.3088,119.61,20.08,91,96,2.53
184,Cabo San Lucas,22.8909,-109.9124,78.8,46,40,7.58
185,Port Pirie,-33.1833,138.0167,73.4,64,0,11.5
186,Līsakovsk,52.5369,62.4936,-0.69,99,76,5.03
187,Virginia Beach,36.8529,-75.978,52.0,71,75,20.71
188,Oktyabr'skiy,54.4815,53.471,24.58,94,94,11.07
189,Gizo Government Station,-8.103,156.8419,84.11,72,88,5.73
190,São Filipe,14.8961,-24.4956,70.36,73,1,8.75
191,Jaisalmer,26.9147,70.9181,69.58,55,15,7.02
192,Makrāna,27.05,74.7167,71.51,34,4,6.29
193,Jamestown,42.097,-79.2353,57.2,15,1,5.75
194,Paamiut,61.994,-49.6678,17.22,72,100,6.17
195,Ossora,59.2353,163.0719,32.29,98,100,27.0
196,Lebu,-37.6167,-73.65,55.8,87,27,10.16
197,Khovu-Aksy,51.1333,93.6,16.61,87,83,3.67
198,Villamontes,-21.25,-63.5,70.47,84,92,4.5
199,Shīeli,44.1667,66.75,44.02,87,100,16.11
200,Gimli,50.6336,-96.9907,33.8,69,40,8.05
201,Yellowknife,62.456,-114.3525,-0.99,46,20,8.05
202,Uribia,11.7139,-72.266,83.91,56,77,13.22
203,Gebre Guracha,9.8,38.4,52.16,15,9,5.55
204,Labuhan,-6.8844,112.2051,78.78,83,100,4.61
205,Olafsvik,64.8945,-23.7142,36.09,80,99,32.66
206,North Platte,41.1239,-100.7654,39.2,81,90,19.57
207,Lethem,3.3803,-59.7968,84.33,56,93,11.77
208,Taoudenni,22.6783,-3.9836,66.31,25,18,12.95
209,Madang,-5.2246,145.7966,84.6,69,100,2.91
210,Acandí,8.5063,-77.2778,77.02,81,90,8.46
211,Freeport,40.6576,-73.5832,48.0,71,1,5.75
212,Halifax,44.6453,-63.5724,44.6,53,1,10.36
213,Kasama,-10.2129,31.1808,61.54,98,100,2.89
214,Pochutla,15.7432,-96.4661,84.2,65,20,17.27
215,Vyatskiye Polyany,56.226,51.0656,27.36,95,100,9.1
216,Guerrero Negro,27.9769,-114.0611,63.48,54,99,18.16
217,Killybegs,54.6333,-8.45,46.99,87,98,8.01
218,Duki,30.1541,68.5728,53.38,72,60,0.72
219,Turbat,26.0023,63.044,72.18,56,0,2.73
220,Batagay-Alyta,67.8006,130.4114,-8.7,95,100,5.41
221,Russell,32.3502,-85.1999,71.6,43,90,6.91
222,Esperance,-33.8667,121.9,60.8,72,90,11.5
223,Río Gallegos,-51.6226,-69.2181,59.0,55,0,3.44
224,Chokurdakh,70.6333,147.9167,-14.35,96,49,5.64
225,Dilla,6.41,38.31,60.04,58,65,4.43
226,Mehamn,71.0357,27.8492,30.2,93,90,24.16
227,General Cepeda,25.3833,-101.45,87.8,22,75,17.27
228,Piet Retief,-27.0071,30.8132,56.23,97,100,1.45
229,Nikolskoye,59.7035,30.7861,23.0,68,0,6.71
230,Waingapu,-9.6567,120.2641,81.18,79,90,3.0
231,Tuatapere,-46.1333,167.6833,57.0,95,82,1.99
232,Puerto del Rosario,28.5004,-13.8627,62.6,72,75,16.11
233,Grand Island,40.925,-98.342,42.8,87,90,20.71
234,São João da Barra,-21.6403,-41.0511,76.84,89,14,9.24
235,Colares,38.7992,-9.4469,57.0,62,2,11.99
236,Moussoro,13.6408,16.4901,88.23,9,34,7.52
237,Fredericksburg,38.3032,-77.4605,59.0,41,1,4.61
238,Puro,12.4841,123.3827,80.44,78,73,14.74
239,Flinders,-34.5833,150.8552,66.99,99,100,4.0
240,Rønne,55.1009,14.7066,39.2,100,90,9.22
241,Mahendragarh,28.2833,76.15,71.22,40,54,4.72
242,Oistins,13.0667,-59.5333,78.8,57,40,18.41
243,Kavaratti,10.5669,72.642,82.45,70,99,7.99
244,Scarborough,54.2797,-0.4044,41.0,85,43,1.01
245,Talnakh,69.4865,88.3972,4.3,95,100,9.62
246,Victor Harbor,-35.5667,138.6167,66.99,77,58,10.63
247,Iquique,-20.2208,-70.1431,68.0,64,0,18.41
248,Itarema,-2.9248,-39.9167,77.95,79,97,6.31
249,Emba,48.8264,58.1442,4.91,99,65,6.04
250,Troitskoye,52.9821,84.6757,27.01,95,100,3.31
251,Pringsewu,-5.3582,104.9744,75.0,93,99,1.57
252,Lillooet,50.6856,-121.942,46.0,65,75,11.5
253,Tonstad,58.6626,6.7169,39.0,94,100,4.0
254,Bilma,18.6853,12.9164,85.5,14,3,11.86
255,Alugan,12.2188,125.4808,79.59,84,99,17.87
256,Zvishavane,-20.3267,30.0665,64.98,93,75,9.57
257,Lao Cai,22.4833,103.95,60.62,76,97,1.28
258,Sungai Raya,0.7,108.9,77.02,89,76,4.0
259,Longyearbyen,78.2186,15.6401,17.6,67,75,19.57
260,Linden,6.0,-58.3,75.2,94,90,4.61
261,Shirvan,39.9509,48.8994,41.83,92,45,2.62
262,Deputatsky,69.3,139.9,-11.74,96,96,3.18
263,Santa Fe,-31.6333,-60.7,69.01,94,92,5.14
264,Lompoc,34.6391,-120.4579,55.99,67,1,26.46
265,Pathein,16.7833,94.7333,74.75,84,54,1.28
266,Clyde River,70.4692,-68.5914,-22.0,63,20,13.8
267,Vao,-22.6667,167.4833,76.05,64,100,14.61
268,Marovoay,-16.1,46.6333,75.2,100,40,4.61
269,Balkanabat,39.5108,54.3671,48.7,67,100,11.14
270,Narón,43.5167,-8.1528,52.0,100,0,3.44
271,Mount Gambier,-37.8333,140.7667,68.0,77,40,4.61
272,Port Dickson,2.5228,101.7959,78.8,89,20,4.61
273,Tautira,-17.7333,-149.15,89.6,62,40,4.61
274,San Francisco,37.7749,-122.4194,63.0,63,20,25.32
275,Champerico,14.3,-91.9167,71.6,100,90,16.11
276,Roald,62.5833,6.1333,45.0,93,90,23.02
277,Point Fortin,10.1833,-61.6833,78.01,89,100,1.01
278,Beringovskiy,63.05,179.3167,8.82,72,45,7.81
279,Shimoda,34.6667,138.95,50.0,53,75,13.8
280,Alyangula,-13.8483,136.4192,83.82,75,96,8.21
281,Yarmouth,41.7057,-70.2286,46.0,70,1,4.61
282,Half Moon Bay,37.4636,-122.4286,60.01,82,90,12.66
283,Erenhot,43.6475,111.9767,37.44,28,97,9.37
284,Yumen,40.2833,97.2,36.41,56,51,3.56
285,San Andrés,12.5847,-81.7006,80.6,74,40,6.91
286,Sovetskiy,61.3614,63.5842,18.72,95,100,7.56
287,Berdigestyakh,62.0989,126.6992,-13.43,87,100,11.1
288,Ponnāni,10.767,75.9252,78.8,78,20,2.3
289,Mar del Plata,-38.0023,-57.5575,66.0,88,57,6.91
290,Urusha,54.05,122.9,10.83,85,93,2.84
291,Narsaq,60.9167,-46.05,17.6,57,75,4.61
292,Wronki,52.7105,16.3804,37.99,64,0,8.05
293,Seymchan,62.8833,152.4333,7.79,91,100,19.39
294,Grand-Santi,4.25,-54.3833,72.7,99,99,2.62
295,Quelimane,-17.8786,36.8883,78.8,83,20,1.68
296,Barra de Tecoanapa,16.5167,-98.75,81.91,60,0,12.71
297,St. George's,12.0564,-61.7485,78.8,83,20,19.57
298,Marabu,4.4148,114.0089,77.0,94,20,4.65
299,Kosh-Agach,50.0,88.6667,5.68,96,94,4.56
300,Westport,41.1415,-73.3579,46.99,81,1,6.91
